name,lat,lon,total,dates,charges,countries,gang
"Talladega, AL",33.3967079,-86.1597137,46,01/31/25 - 05/10/26,"Assault, Dangerous Drugs, Family Offenses, Flight / Escape, Forgery, General Crimes, Immigration, Larceny, Obstructing Judiciary, Congress, Legislature, Etc., Public Peace, Sexual Assault, Traffic Offenses, Weapon Offenses","COLOMBIA, EGYPT, GUATEMALA, HAITI, HONDURAS, MEXICO, SAUDI ARABIA",
"Marion, OH",40.5885271,-83.1895249,46,02/20/25 - 05/04/26,"Assault, Dangerous Drugs, Family Offenses, Flight / Escape, General Crimes, Immigration, Kidnapping, Larceny, Obstructing the Police, Public Peace, Robbery, Sexual Assault, Traffic Offenses, Weapon Offenses","COLOMBIA, DOMINICAN REPUBLIC, GUATEMALA, HONDURAS, INDIA, MEXICO, VENEZUELA",✅
"Nicholasville, KY",37.8806341,-84.5729961,44,02/10/25 - 05/19/26,"Assault, Dangerous Drugs, Family Offenses, Flight / Escape, Forgery, General Crimes, Immigration, Larceny, Obstructing Judiciary, Congress, Legislature, Etc., Obstructing the Police, Sex Offenses (Not Involving Assault or Commercialized Sex), Traffic Offenses","CANADA, GUATEMALA, HONDURAS, MEXICO, PERU, VENEZUELA",
"Abbeville, AL",31.63841695,-85.34923395,43,06/23/25 - 05/15/26,"Assault, Dangerous Drugs, General Crimes, Immigration, Obstructing Judiciary, Congress, Legislature, Etc., Public Peace, Sexual Assault, Traffic Offenses, Weapon Offenses","BAHAMAS, CUBA, GUATEMALA, HONDURAS, INDIA, MEXICO, VENEZUELA",
"Laporte, IN",41.5718945,-86.7490124,42,03/11/25 - 05/16/26,"Assault, Dangerous Drugs, General Crimes, Larceny, Obstructing the Police, Stolen Property, Traffic Offenses, Weapon Offenses","COLOMBIA, ECUADOR, EL SALVADOR, GUATEMALA, HONDURAS, INDIA, JORDAN, MEXICO, NICARAGUA, VENEZUELA",
"Toledo, IA",41.9958439,-92.5790678,42,04/16/25 - 05/18/26,"Assault, Dangerous Drugs, Fraudulent Activities, Liquor, Obstructing the Police, Traffic Offenses","CUBA, EL SALVADOR, GUATEMALA, HONDURAS, MEXICO, NICARAGUA",
"Franklin, NC",36.1028596,-78.2787229,40,02/21/25 - 05/18/26,"Assault, Burglary, Dangerous Drugs, Family Offenses, Forgery, Obstructing Judiciary, Congress, Legislature, Etc., Obstructing the Police, Robbery, Sexual Assault, Traffic Offenses","GUATEMALA, HONDURAS, MEXICO, NICARAGUA, VENEZUELA",
"Pearson, GA",31.297703,-82.8523668,40,01/22/25 - 05/18/26,"Assault, Burglary, Conservation, Dangerous Drugs, Family Offenses, Fraudulent Activities, General Crimes, Obstructing the Police, Public Peace, Sexual Assault, Traffic Offenses","DOMINICAN REPUBLIC, EL SALVADOR, GUATEMALA, HONDURAS, MEXICO, NICARAGUA, PERU",
"Gering, NE",41.8226927,-103.66037,39,02/26/25 - 05/18/26,"Assault, Bribery, Dangerous Drugs, Family Offenses, Fraudulent Activities, General Crimes, Larceny, Obstructing the Police, Public Peace, Stolen Property, Stolen Vehicle, Threat, Traffic Offenses","COLOMBIA, CUBA, GUATEMALA, HONDURAS, LIBERIA, MEXICO, VENEZUELA",✅
"Ft. Snelling, MN",44.893164,-93.198107,39,01/27/25 - 05/19/26,"Assault, Dangerous Drugs, Forgery, Fraudulent Activities, Homicide, Immigration, Larceny, Public Peace, Sexual Assault, Traffic Offenses","COLOMBIA, ECUADOR, GUATEMALA, GUINEA, HONDURAS, LAOS, LIBERIA, MEXICO, NICARAGUA, NIGERIA, PHILIPPINES, UNITED KINGDOM, UNITED STATES, VENEZUELA",✅
