name,lat,lon,total,dates,charges,countries,gang
"Tullahoma, TN",35.3624915,-86.2099766,1,04/29/26 - 04/29/26,,MEXICO,
"Bel Aire, KS",37.7625125,-97.266988,1,03/07/25 - 03/07/25,,MEXICO,
"Truth Or Consequences, NM",33.1283485,-107.2529059,1,04/24/26 - 04/24/26,,UNITED STATES,
"Tukwilla, WA",47.4627356,-122.2559157,1,01/20/26 - 01/20/26,Assault,NICARAGUA,
"Tukwla, WA",47.4627356,-122.2559157,1,02/26/25 - 02/26/25,,PERU,
"Tulatin, OR",45.3809339,-122.7694369,1,12/10/25 - 12/10/25,,MEXICO,
"Tuckahoe, NY",40.9051175,-72.4393477,1,07/23/25 - 07/23/25,Larceny,PERU,
"Kenneiwck, WA",46.2087066,-119.119919,1,10/12/25 - 10/12/25,Sexual Assault,MEXICO,
"Kendleton, TX",29.4507991,-95.99467875,1,09/13/25 - 09/13/25,,MEXICO,
"Keneansville, NC",34.9623883,-77.9622069,1,03/10/26 - 03/10/26,Sex Offenses (Not Involving Assault or Commercialized Sex),HONDURAS,
"Trumann, AR",35.6728822,-90.5069406,1,12/03/25 - 12/03/25,Assault,MARSHALL ISLANDS,
"Grandk Forks, ND",47.9252104,-97.0306325,1,01/07/26 - 01/07/26,,VENEZUELA,
"Grand Islmnad, NE",40.924271,-98.338685,1,11/26/25 - 11/26/25,Obstructing the Police,MEXICO,
"Kenmore, WA",47.7596715,-122.2496367,1,07/14/25 - 07/14/25,,GUATEMALA,
"Kendall, TX",29.943885,-98.7258845,1,03/10/25 - 03/10/25,Traffic Offenses,GUATEMALA,
"Kendall Park, NJ",40.4138861,-74.5659848,1,05/21/25 - 05/21/25,,JAMAICA,
"Kennett Sqaure, PA",39.8467414,-75.71169971,1,03/29/25 - 03/29/25,Flight / Escape,MEXICO,
"Kennner, LA",29.9942265,-90.2417806,1,01/09/26 - 01/09/26,Traffic Offenses,GUATEMALA,
"Kearnyey, NE",40.4906216,-98.9472344,1,12/31/25 - 12/31/25,Assault,VENEZUELA,
"Kealakekua, HI",19.52982,-155.9047636,1,09/29/25 - 09/29/25,Traffic Offenses,MEXICO,
"Kearney, MO",39.3731886,-94.3621376,1,07/03/25 - 07/03/25,,HONDURAS,
"Twentynine Palms, CA",34.1356915,-116.0543506,1,03/10/26 - 03/10/26,,UNITED STATES,
"Twin Falls Idaho, ID",42.5558542,-114.4700684,1,02/05/25 - 02/05/25,Traffic Offenses,PERU,
"Karnes  City, TX",28.8849772,-97.9008356,1,10/24/25 - 10/24/25,,GUATEMALA,
"Kauffman, TX",31.9073649,-102.3592635,1,12/23/25 - 12/23/25,,MEXICO,
"Kenneth Square, PA",39.8466103,-75.711069,1,03/28/25 - 03/28/25,,VENEZUELA,✅
"Bedford, IA",40.6680798,-94.719957,1,04/07/25 - 04/07/25,Fraudulent Activities,CUBA,
"Turtlecreek Township, OH",39.4408466,-84.1434082,1,04/02/26 - 04/02/26,,MEXICO,
"Tupelo, LA",31.8691503,-92.2974423,1,06/23/25 - 06/23/25,Sex Offenses (Not Involving Assault or Commercialized Sex),HONDURAS,
"Beavercreek, OH",39.7092262,-84.0632685,1,02/28/26 - 02/28/26,Traffic Offenses,HONDURAS,
"Beaver Dam, KY",37.4019918,-86.8758256,1,05/05/25 - 05/05/25,Traffic Offenses,MEXICO,
"Beamont, TX",30.0829344,-94.0984277,1,05/16/25 - 05/16/25,Dangerous Drugs,MEXICO,
"Beckley, CA",34.2296618,-118.2110429,1,01/09/26 - 01/09/26,,MEXICO,
"Granury, TX",32.4426759,-97.7870525,1,05/19/25 - 05/19/25,Assault,VENEZUELA,
"Kahoka, MO",40.4203184,-91.7196088,1,07/28/25 - 07/28/25,Public Peace,MEXICO,
"Union City, CA",37.5872576,-122.0215719,1,07/26/25 - 07/26/25,Immigration,"CHINA, PEOPLES REPUBLIC OF",
"Uniontown, AL",32.4495804,-87.5141688,1,02/13/25 - 02/13/25,,MEXICO,
"Gray, TN",36.4198258,-82.4765352,1,09/16/25 - 09/16/25,General Crimes,MEXICO,
"Unknown, NM",35.6874992,-105.940059,1,10/29/25 - 10/29/25,,MEXICO,
"Uintah, UT",40.1943199,-109.5770955,1,02/12/26 - 02/12/26,Immigration,MEXICO,
"Ullin, IL",37.2769948,-89.1834113,1,08/13/25 - 08/13/25,Weapon Offenses,MEXICO,
"Union, TN",36.2979687,-83.8451468,1,08/01/25 - 08/01/25,Traffic Offenses,MEXICO,
"Granger, TX",30.7181587,-97.4411922,1,09/09/25 - 09/09/25,Immigration,MEXICO,
"Ulysis, KS",32.5854291,-80.3369155,1,02/09/26 - 02/09/26,"Obstructing Judiciary, Congress, Legislature, Etc.",HONDURAS,
"Unknown, MI",42.3909659,-83.4051143,1,07/02/25 - 07/02/25,,BRAZIL,
"Unkknown, IL",37.6257731,-88.7974249,1,10/14/25 - 10/14/25,,VENEZUELA,
"Unkown, FL",25.7947354,-80.2210977,1,10/21/25 - 10/21/25,,MEXICO,
"Unkown, GA",33.8974089,-84.3076116,1,08/12/25 - 08/12/25,Traffic Offenses,MEXICO,
"Valentine, NE",42.8746752,-100.5506158,1,09/04/25 - 09/04/25,Public Peace,CHILE,
"Valhalla, NY",41.075213,-73.7750061,1,07/22/25 - 07/22/25,Assault,MEXICO,
"Valley Center, CA",33.2183701,-117.0341967,1,01/30/26 - 01/30/26,,UNITED STATES,
"Unkown, MN",36.0947485,-110.1635301,1,01/04/26 - 01/04/26,Sexual Assault,VIETNAM,
"Unionville, MO",40.4769606,-93.0032615,1,04/18/26 - 04/18/26,Traffic Offenses,HONDURAS,
"Unk, AZ",45.9231918,-111.6431595,1,11/12/25 - 11/12/25,Traffic Offenses,MEXICO,
"Bbaldwin, WI",40.6534835,-73.6113502,1,02/05/26 - 02/05/26,,MEXICO,
"Unk, MN",45.9231918,-111.6431595,1,02/04/26 - 02/04/26,,GUATEMALA,
"Unk, VA",45.9218935,-111.6510727,1,08/19/25 - 08/19/25,Larceny,HONDURAS,
"Bay St. Luis, MS",30.3105666,-89.3275482,1,01/07/26 - 01/07/26,,HONDURAS,
"Bayard, NM",32.7617982,-108.130584,1,09/03/25 - 09/03/25,Immigration,MEXICO,
"Bay Saint  Louis, MS",30.3105666,-89.3275482,1,05/06/26 - 05/06/26,Invasion of Privacy,MEXICO,
"Bbloomington, MN",44.8322405,-93.3204872,1,01/26/26 - 01/26/26,,ECUADOR,
"Kanakee, IL",41.1253903,-87.848682,1,09/24/25 - 09/24/25,,HONDURAS,
"Kanas City, MO",39.100105,-94.5781416,1,08/27/25 - 08/27/25,General Crimes,VENEZUELA,
"Kansas City, MS",39.100105,-94.5781416,1,03/31/26 - 03/31/26,Sexual Assault,GUATEMALA,
"Kansas City, ND",39.100105,-94.5781416,1,01/19/26 - 01/19/26,Traffic Offenses,HONDURAS,
"Juliet, IL",39.8472469,-89.6821181,1,11/04/25 - 11/04/25,Obstructing the Police,MEXICO,
"Junction City, MO",37.576442,-90.2881739,1,09/09/25 - 09/09/25,Traffic Offenses,NICARAGUA,
"Greeely, CO",40.4233142,-104.7091322,1,07/08/25 - 07/08/25,Assault,MEXICO,
"Grayson, GA",33.8942729,-83.95574,1,02/01/26 - 02/01/26,,ECUADOR,
"Jmaica, NY",40.6987631,-73.8088251,1,06/04/25 - 06/04/25,,ECUADOR,
"Juneua, WI",43.9532381,-90.1218405,1,10/06/25 - 10/06/25,Traffic Offenses,MEXICO,
"Upper  Darby, PA",39.9284459,-75.2737955,1,05/30/25 - 05/30/25,,ECUADOR,
"Jsckson, WY",43.479965,-110.761815,1,05/28/25 - 05/28/25,Traffic Offenses,MEXICO,
"Juana Diaz, PR",18.0637547,-66.4888661,1,01/13/26 - 01/13/26,,HONDURAS,
"Jonesnoro, GA",33.5215013,-84.3538128,1,04/25/25 - 04/25/25,Traffic Offenses,MEXICO,
"Jont Base Mdl, NJ",40.0332849,-74.333797,1,06/26/25 - 06/26/25,Immigration,MEXICO,
"Kansas City, AR",39.100105,-94.5781416,1,03/25/26 - 03/25/26,Traffic Offenses,GUATEMALA,
"Jurapa Valley, CA",33.9798472,-117.4515762,1,09/13/25 - 09/13/25,,INDIA,
"Jurupa Valey, CA",33.9798472,-117.4515762,1,03/13/25 - 03/13/25,Threat,MEXICO,✅
"Unkown, IL",38.9444212,-89.3374411,1,10/16/25 - 10/16/25,,VENEZUELA,
"Unkown, MA",42.6831834,-70.8617589,1,09/26/25 - 09/26/25,Dangerous Drugs,DOMINICAN REPUBLIC,
"Upper Tumon, GU",13.5175098,144.8172819,1,06/03/25 - 06/03/25,,"CHINA, PEOPLES REPUBLIC OF",
"Upperdarby, PA",39.9284459,-75.2737955,1,07/26/25 - 07/26/25,Sex Offenses (Not Involving Assault or Commercialized Sex),LAOS,
"Unkown, SC",36.0947485,-110.1635301,1,04/15/26 - 04/15/26,,MEXICO,
"Unon, NJ",40.6652251,-74.3045277,1,11/03/25 - 11/03/25,,ECUADOR,
"Unknown, PA",39.7424537,-75.8645144,1,09/19/25 - 09/19/25,,BRAZIL,
"Unknown, WA",48.2747559,-121.7424883,1,08/15/25 - 08/15/25,,GUATEMALA,
"Upper Darby Township, PA",39.9629304,-75.2662135,1,04/15/26 - 04/15/26,Assault,ECUADOR,
"Valaparaiso, IN",41.4672552,-87.0604487,1,03/01/25 - 03/01/25,General Crimes,MEXICO,
"Jesup Fci, GA",31.5635927,-81.9020073,1,03/12/25 - 03/12/25,Dangerous Drugs,COLOMBIA,
"Grangeville, ID",45.926552,-116.122326,1,07/29/25 - 07/29/25,Immigration,MEXICO,
"Green Forest, AR",36.3353472,-93.4360189,1,05/22/25 - 05/22/25,,GUATEMALA,
"Green Lake, WI",43.7971612,-89.0402508,1,02/12/26 - 02/12/26,Obstructing the Police,GUATEMALA,
"Bay Miette, AL",30.8829628,-87.7730474,1,04/06/25 - 04/06/25,Assault,MEXICO,
"Bay Minett, AL",30.8829628,-87.7730474,1,02/04/26 - 02/04/26,,HONDURAS,
"Us, AZ",33.6660986,-111.9738117,1,02/12/25 - 02/12/25,Forgery,MEXICO,
"Us, GA",33.738743,-84.3589885,1,05/05/25 - 05/05/25,"Obstructing Judiciary, Congress, Legislature, Etc.",MEXICO,
"Valley City, ND",46.923313,-98.003155,1,02/13/26 - 02/13/26,Traffic Offenses,NICARAGUA,
"Vaictorville, CA",34.5361067,-117.2911565,1,05/22/25 - 05/22/25,Weapon Offenses,MEXICO,
"Baxter, MN",46.3433005,-94.286666,1,01/29/26 - 01/29/26,Assault,HONDURAS,
"Batesvill, MS",34.316488,-89.95271083,1,08/21/25 - 08/21/25,Dangerous Drugs,HONDURAS,
"Greeley, PA",41.420041,-74.9955304,1,01/20/26 - 01/20/26,Traffic Offenses,HAITI,
"Greeley, WY",41.095119,-104.8070157,1,09/15/25 - 09/15/25,Larceny,MEXICO,
"Green Castle, IN",39.8959718,-85.3891207,1,11/09/25 - 11/09/25,Traffic Offenses,MEXICO,
"Great Lakes, IL",42.3093241,-87.8496551,1,08/13/25 - 08/13/25,,JAMAICA,
"Greece, NY",43.2581805,-77.6970101,1,01/06/26 - 01/06/26,,BRAZIL,
"Batrop, TX",30.0541116,-97.38877639,1,08/14/25 - 08/14/25,,MEXICO,
"Van, CA",34.1943707,-118.4659127,1,07/02/25 - 07/02/25,,VENEZUELA,
"Bastrio, TX",30.0541116,-97.38877639,1,05/16/25 - 05/16/25,Assault,MEXICO,
"Bastrop, WA",30.0541116,-97.38877639,1,02/27/26 - 02/27/26,Immigration,GUATEMALA,
"Vancover, WA",45.6306954,-122.6744557,1,12/12/25 - 12/12/25,,MEXICO,
"Greensburg, LA",30.829635,-90.6677355,1,08/26/25 - 08/26/25,Immigration,EL SALVADOR,
"Valparaiso, IL",37.7967192,-88.989547,1,06/23/25 - 06/23/25,Larceny,VENEZUELA,
"Vergennes, VT",44.1681052,-73.2518037,1,04/26/25 - 04/26/25,,UNITED STATES,
"Vanburen, AR",39.2176652,-80.1044977,1,02/23/26 - 02/23/26,,MEXICO,
"Joint Base Lewis-Mcchord, WA",47.0308343,-122.50741,1,05/17/26 - 05/17/26,Traffic Offenses,GUATEMALA,
"Greensboro, AL",32.7045753,-87.5958396,1,11/05/25 - 11/05/25,Traffic Offenses,NICARAGUA,
"Greene, NY",42.3292408,-75.7699147,1,06/24/25 - 06/24/25,Weapon Offenses,STATELESS,
"Green Pond, SC",34.7964642,-82.084376,1,10/08/25 - 10/08/25,,UNITED STATES,
"Greeley, NE",41.5595746,-98.5300914,1,06/16/25 - 06/16/25,Dangerous Drugs,MEXICO,
"John Island, SC",32.7224939,-80.0771681,1,04/23/25 - 04/23/25,,MEXICO,
"Johnson, OK",35.4056256,-96.8416882,1,10/22/25 - 10/22/25,,"CHINA, PEOPLES REPUBLIC OF",
"Bartown, FL",27.8963791,-81.8431567,1,03/27/26 - 03/27/26,,VENEZUELA,
"Greenville, MO",37.1273098,-90.4500901,1,03/01/26 - 03/01/26,Traffic Offenses,MEXICO,
"Greenville, TN",36.2969971,-86.8883332,1,10/01/25 - 10/01/25,Traffic Offenses,MEXICO,
"Barnhart, MO",38.3397205,-90.4067425,1,04/29/26 - 04/29/26,Traffic Offenses,HONDURAS,
"Verdi, NV",39.5182427,-119.988811,1,05/14/25 - 05/14/25,Dangerous Drugs,MEXICO,
"Vanderbilt, TX",28.822218,-96.6160175,1,03/10/26 - 03/10/26,Assault,MEXICO,
"Vanderburgh, IN",38.0461185,-87.5806553,1,12/18/25 - 12/18/25,"Obstructing Judiciary, Congress, Legislature, Etc.",MEXICO,
"Jefferson, LA",29.8502657,-90.1293894,1,10/28/25 - 10/28/25,Obstructing the Police,MEXICO,
"Greenvillle, NC",35.613224,-77.3724593,1,02/07/26 - 02/07/26,"Obstructing Judiciary, Congress, Legislature, Etc.",HONDURAS,
"Jamica, NY",40.6987631,-73.8088251,1,05/13/25 - 05/13/25,,UNITED STATES,✅
"Jersey City, NY",40.6699895,-74.0621231,1,05/13/25 - 05/13/25,,UNITED STATES,✅
"Jena, AL",33.1306772,-87.8469594,1,09/08/25 - 09/08/25,Traffic Offenses,VENEZUELA,
"Barrington, MA",42.1539141,-88.1361888,1,09/09/25 - 09/09/25,,GUATEMALA,
"Barry, MO",36.7033624,-93.8229669,1,02/13/26 - 02/13/26,Public Peace,GUATEMALA,
"Jefferson, OH",40.3792938,-80.7847619,1,08/06/25 - 08/06/25,Family Offenses,INDIA,
"Jefferson, OR",44.6072499,-121.2463145,1,09/25/25 - 09/25/25,,MEXICO,
"Greensburgh, PA",40.3024514,-79.5443274,1,04/11/25 - 04/11/25,Fraudulent Activities,UNITED KINGDOM,
"Greenvilee, NC",35.613224,-77.3724593,1,04/09/26 - 04/09/26,Sex Offenses (Not Involving Assault or Commercialized Sex),MEXICO,
"Jefferson Township, PA",40.4342294,-76.1562863,1,07/15/25 - 07/15/25,Traffic Offenses,MEXICO,
"Vgea Baja, PR",18.4177658,-66.3994474,1,10/31/25 - 10/31/25,,"CHINA, PEOPLES REPUBLIC OF",
"Baroboursville, WV",38.4095298,-82.2945923,1,01/06/26 - 01/06/26,,NICARAGUA,
"Viernna, VA",38.9013729,-77.26517613,1,06/12/25 - 06/12/25,,HONDURAS,
"Villa Ridge, MO",38.4630715,-90.8791318,1,04/28/25 - 04/28/25,,UNITED STATES,
"Baltimotre, MD",39.2908816,-76.610759,1,02/26/25 - 02/26/25,Traffic Offenses,MEXICO,
"Wa Keeney, KS",39.025008,-99.879566,1,04/04/26 - 04/04/26,Obstructing the Police,HONDURAS,
"Visalial, CA",36.3302284,-119.292058,1,05/14/25 - 05/14/25,Burglary,MEXICO,
"Volo, IL",42.3261332,-88.167861,1,10/18/25 - 10/18/25,,MEXICO,
"Versailles, MO",38.4314141,-92.8410274,1,04/22/26 - 04/22/26,Weapon Offenses,MEXICO,
"Vidalia, GA",32.2176855,-82.4134614,1,08/18/25 - 08/18/25,,MEXICO,
"Jcaksonville, FL",30.3321838,-81.655651,1,06/11/25 - 06/11/25,,HONDURAS,
"Jasper, AR",36.0081324,-93.1865659,1,08/16/25 - 08/16/25,General Crimes,MEXICO,
"Jax Beach, FL",30.2867004,-81.5035683,1,12/18/25 - 12/18/25,Traffic Offenses,GUATEMALA,
"Jamicas, NY",40.6987631,-73.8088251,1,01/19/26 - 01/19/26,,ECUADOR,
"Jarupa Valley, CA",33.9798472,-117.4515762,1,05/15/25 - 05/15/25,Stolen Vehicle,EL SALVADOR,
"W Newton, MA",42.3494777,-71.2262296,1,01/06/26 - 01/06/26,Larceny,COLOMBIA,
"Gretna Louisiana, LA",29.9125697,-90.0531771,1,01/27/25 - 01/27/25,Traffic Offenses,HONDURAS,
"Greenwoord, IN",39.6136987,-86.1095429,1,03/19/26 - 03/19/26,,EL SALVADOR,
"Greeyley, CO",40.4233142,-104.7091322,1,01/27/25 - 01/27/25,Assault,MEXICO,
"Gregg Twp, PA",40.8572545,-77.5814042,1,10/27/25 - 10/27/25,Dangerous Drugs,MEXICO,
"Jamesville, WI",42.6829765,-89.0226793,1,02/02/25 - 02/02/25,Sex Offenses (Not Involving Assault or Commercialized Sex),COLOMBIA,
"Grensham, OR",45.4978623,-122.4329883,1,10/15/25 - 10/15/25,,MEXICO,
"Groedsbeck, TX",31.5243379,-96.5338693,1,07/22/25 - 07/22/25,Weapon Offenses,HONDURAS,
"Islanda, NY",40.8042649,-73.1690019,1,03/08/26 - 03/08/26,,HONDURAS,
"Jamaic, NY",40.6987631,-73.8088251,1,03/17/25 - 03/17/25,Immigration,BANGLADESH,
"Jamaica, CT",41.2460695,-72.8631649,1,02/19/26 - 02/19/26,,TURKIYE,
"Groverton, TX",33.2135818,-96.7751049,1,09/08/25 - 09/08/25,Assault,MEXICO,
"Grorgetown, TX",30.6370152,-97.6775634,1,02/06/26 - 02/06/26,General Crimes,MEXICO,
"Jbsa Randolph, TX",29.5285568,-98.2792383,1,07/22/25 - 07/22/25,Immigration,CUBA,
"Jamaixa, NY",40.6987631,-73.8088251,1,02/06/26 - 02/06/26,,ECUADOR,
"Jacksoville, FL",30.3321838,-81.655651,1,03/18/25 - 03/18/25,Obstructing the Police,BRAZIL,
"Jackson, TX",28.9224028,-96.55561,1,04/27/26 - 04/27/26,Obstructing the Police,HONDURAS,
"Bareville, PA",40.0923195,-76.1557855,1,04/24/26 - 04/24/26,,COLOMBIA,
"Barlett, TN",35.2161451,-86.1529192,1,04/23/25 - 04/23/25,Traffic Offenses,GUATEMALA,
"Virginia  Beach, VA",36.8496579,-75.9760751,1,10/06/25 - 10/06/25,,GUATEMALA,
"Jacksonvile, FL",30.1897291,-82.6176244,1,03/25/25 - 03/25/25,Traffic Offenses,GUATEMALA,
"Jackson, OH",39.0131871,-82.6089043,1,03/18/25 - 03/18/25,Public Peace,MEXICO,
"Baltiore, MD",39.2908816,-76.610759,1,02/25/25 - 02/25/25,Assault,VIETNAM,
"Baltmore, MD",39.2908816,-76.610759,1,04/01/25 - 04/01/25,,HONDURAS,
"Barboursvile, WV",38.4095298,-82.2945923,1,01/07/26 - 01/07/26,Public Peace,GUATEMALA,
"Barboursville, TX",38.4095298,-82.2945923,1,01/14/26 - 01/14/26,,MEXICO,
"Barbourville, WV",38.4095298,-82.2945923,1,01/28/25 - 01/28/25,Assault,HONDURAS,
"Bandon, MS",43.1195634,-124.4094086,1,08/16/25 - 08/16/25,Forgery,CUBA,
"Grulla, TX",31.5623106,-106.266545,1,02/20/26 - 02/20/26,Sex Offenses (Not Involving Assault or Commercialized Sex),MEXICO,
"Guadalupe, AZ",33.3631249,-111.9625328,1,12/24/25 - 12/24/25,Dangerous Drugs,MEXICO,
"Guadalupe, CA",34.971644,-120.571836,1,07/28/25 - 07/28/25,Weapon Offenses,MEXICO,✅
"Islip Terrace, NY",40.7505205,-73.1855666,1,04/01/25 - 04/01/25,,UNITED STATES,
"Itaca, MI",32.1595947,-97.1500074,1,03/18/26 - 03/18/26,Assault,MEXICO,
"Baltomore, MD",39.2908816,-76.610759,1,03/26/25 - 03/26/25,Traffic Offenses,EL SALVADOR,
"Waite  Park, MN",45.5537128,-94.2334634,1,01/27/26 - 01/27/26,,VENEZUELA,
"Waikoloa, HI",19.9469278,-155.787398,1,05/06/25 - 05/06/25,,MEXICO,
"Baltimore, MP",39.2908816,-76.610759,1,03/23/26 - 03/23/26,Immigration,GUATEMALA,
"Waetherford, TX",32.7589648,-97.7970748,1,02/02/26 - 02/02/26,Dangerous Drugs,HONDURAS,
"Wahington, DC",37.7434422,-121.1251508,1,08/29/25 - 08/29/25,,COLOMBIA,
"Wahneta, FL",27.957965,-81.7305075,1,09/22/25 - 09/22/25,,MEXICO,
"Grosse Pointe Shores, MI",42.4367034,-82.8768586,1,03/07/26 - 03/07/26,Traffic Offenses,COLOMBIA,
"Baldwinsville, NY",43.158679,-76.33271,1,04/14/26 - 04/14/26,,ECUADOR,
"Balch Springsb, TX",32.7287413,-96.6227713,1,02/05/25 - 02/05/25,,EL SALVADOR,
"Baldwin, IL",38.1831051,-89.8426029,1,11/07/25 - 11/07/25,,HONDURAS,
"Balsam Lake, WI",45.4519151,-92.4530074,1,05/07/26 - 05/07/26,Obstructing the Police,ECUADOR,
"Wallace, ID",47.4716008,-115.923925,1,04/28/26 - 04/28/26,Traffic Offenses,UZBEKISTAN,
"Bakerfield, CA",30.5821319,-91.1787187,1,03/06/25 - 03/06/25,,PERU,
"Bakersville, VA",38.7972519,-77.2641971,1,05/12/25 - 05/12/25,Sex Offenses (Not Involving Assault or Commercialized Sex),ECUADOR,
"War Acres, OK",36.5013961,-95.6355193,1,07/11/25 - 07/11/25,Immigration,MEXICO,
"Walker, MN",47.1015529,-94.5798439,1,04/08/26 - 04/08/26,Traffic Offenses,MEXICO,
"Walnut Creek, CA",37.9020731,-122.0618702,1,12/12/25 - 12/12/25,Robbery,MEXICO,
"Guan, OK",66.5163846,61.6589366,1,02/05/25 - 02/05/25,,MEXICO,
"Guayanilla, PR",18.044225,-66.7957124,1,01/08/26 - 01/08/26,,UNITED STATES,
"Guaynabbo, PR",18.3591596,-66.1156802,1,06/18/25 - 06/18/25,,DOMINICAN REPUBLIC,
"Inver Grove Heights, NE",44.8479039,-93.0428119,1,07/10/25 - 07/10/25,,HONDURAS,
"Isla De Mona, PR",18.0874714,-67.8923552,1,01/25/26 - 01/25/26,,RUSSIA,
"Jackpot, NV",41.9838732,-114.673186,1,12/19/25 - 12/19/25,Assault,MEXICO,
"Jackskonville, FL",30.3321838,-81.655651,1,04/23/25 - 04/23/25,Traffic Offenses,HONDURAS,
"Iverness, FL",28.7175946,-81.3821981,1,01/03/26 - 01/03/26,Traffic Offenses,MEXICO,
"Jackkson, WY",43.479965,-110.761815,1,10/25/25 - 10/25/25,Assault,MEXICO,
"Jackon, MS",32.4371074,-88.6595383,1,05/16/25 - 05/16/25,Traffic Offenses,MEXICO,
"Gulf Breez, FL",30.3612885,-87.16834281,1,07/19/25 - 07/19/25,,HONDURAS,
"Gulfshores, AL",30.2711224,-87.6893826,1,02/11/26 - 02/11/26,General Crimes,PANAMA,
"Guyanabo, PR",18.3752133,-66.1135234,1,11/01/25 - 11/01/25,,DOMINICAN REPUBLIC,
"Iola, KS",37.9244799,-95.3999814,1,05/12/26 - 05/12/26,Traffic Offenses,HONDURAS,
"Iowa City Iowa, IA",41.6482876,-91.5379502,1,05/22/25 - 05/22/25,Assault,MEXICO,
"Iowa Falls, IA",42.5207924,-93.2647595,1,05/13/25 - 05/13/25,Burglary,MEXICO,
"Walsenburg, CO",37.6235234,-104.780995,1,08/11/25 - 08/11/25,Assault,MEXICO,
"Gun Barrel City, TX",32.331017,-96.1126799,1,02/05/25 - 02/05/25,,EL SALVADOR,
"Gunnison, FM",38.6476702,-107.0603126,1,01/23/26 - 01/23/26,General Crimes,MEXICO,
"Gustine, TX",31.8451492,-98.4028198,1,11/05/25 - 11/05/25,Weapon Offenses,MEXICO,
"Guerrero, AR",36.3034269,-94.4936114,1,04/27/26 - 04/27/26,,MEXICO,
"Guthrie Center, IA",41.6782701,-94.5020027,1,05/13/26 - 05/13/26,Traffic Offenses,GUATEMALA,
"Baileyville, ME",45.1549515,-67.4050134,1,07/03/25 - 07/03/25,,UNITED STATES,
"Ware Shoals, SC",34.3983739,-82.2467121,1,03/04/25 - 03/04/25,Traffic Offenses,MEXICO,
"Wapatp, WA",46.4476278,-120.4203382,1,07/02/25 - 07/02/25,,MEXICO,
"Avlarado, TX",32.4095565,-97.2102881,1,06/15/25 - 06/15/25,Dangerous Drugs,MEXICO,
"B, OK",35.3961191,-97.6098889,1,01/14/26 - 01/14/26,,GUATEMALA,
"Augustine, FL",29.8946952,-81.3145395,1,10/13/25 - 10/13/25,Traffic Offenses,HONDURAS,
"Bad Axe, MI",43.8020626,-83.0004744,1,06/06/25 - 06/06/25,Traffic Offenses,MEXICO,
"Indinapolis, IN",39.7683331,-86.1583502,1,06/29/25 - 06/29/25,Sex Offenses (Not Involving Assault or Commercialized Sex),MEXICO,
"Indiana, MI",42.1536278,-83.5330833,1,10/23/25 - 10/23/25,,CUBA,
"Indianaplois, IN",39.7683331,-86.1583502,1,09/12/25 - 09/12/25,Assault,HONDURAS,
"Indianapoliis, IN",39.7683331,-86.1583502,1,02/11/26 - 02/11/26,,GUATEMALA,
"Idaho City, ID",43.8280309,-115.834496,1,07/11/25 - 07/11/25,,UNITED STATES,
"Inez, TX",28.9041594,-96.7884141,1,11/10/25 - 11/10/25,Traffic Offenses,MEXICO,
"Washibngton, DC",38.8950368,-77.0365427,1,08/20/25 - 08/20/25,,VENEZUELA,
"Washignton D.C., DC",38.8950368,-77.0365427,1,08/29/25 - 08/29/25,,MEXICO,
"Washinghton, DC",38.8950368,-77.0365427,1,10/16/25 - 10/16/25,,VENEZUELA,
"Indian River, FL",27.7041555,-80.5894422,1,02/11/26 - 02/11/26,,MEXICO,
"Indian Spring, NV",40.7131898,-119.9376936,1,09/17/25 - 09/17/25,Fraudulent Activities,MEXICO,
"Indian Springs, AL",31.3296152,-85.8191043,1,01/09/26 - 01/09/26,,MEXICO,
"Autauga, AL",32.5165255,-86.6319403,1,08/10/25 - 08/10/25,Traffic Offenses,MEXICO,
"Warrrenton, VA",38.7135498,-77.795367,1,07/28/25 - 07/28/25,Assault,HONDURAS,
"Warren, RI",41.7303794,-71.2825494,1,11/11/25 - 11/11/25,Assault,LIBERIA,
"Warren, VT",44.1139265,-72.8555364,1,02/20/25 - 02/20/25,,UNITED STATES,
"Walthanm, MA",42.3762385,-71.2355644,1,07/01/25 - 07/01/25,Robbery,GUATEMALA,
"Aurora, NM",35.1467171,-105.4491765,1,07/17/25 - 07/17/25,Assault,COLOMBIA,
"Aurroa, CO",39.7405111,-104.830994,1,07/29/25 - 07/29/25,Weapon Offenses,MEXICO,
"Atllanta, GA",33.7544657,-84.3898151,1,09/06/25 - 09/06/25,,NICARAGUA,
"Austin, FM",30.2835631,-97.6948156,1,05/08/25 - 05/08/25,Dangerous Drugs,VENEZUELA,
"Haiku, HI",20.9143904,-156.32296,1,04/22/25 - 04/22/25,,UNITED STATES,
"Hacensack, NJ",40.8871438,-74.04108653,1,06/27/25 - 06/27/25,Sex Offenses (Not Involving Assault or Commercialized Sex),EL SALVADOR,
"Ignacio, CO",37.1150037,-107.633113,1,02/12/25 - 02/12/25,Traffic Offenses,MEXICO,
"Ih, FL",25.8205073,-80.331755,1,07/02/25 - 07/02/25,,VENEZUELA,
"Idaho Fall, ID",43.4887907,-112.03628,1,04/09/25 - 04/09/25,"Obstructing Judiciary, Congress, Legislature, Etc.",MEXICO,
"Hallettsivlle, TX",29.4438528,-96.94109292,1,03/09/25 - 03/09/25,,HONDURAS,
